rollout/ep_rew_mean(キА贱纘),time/fps(碫瞯),time/total_timesteps(羆˙计),time/time_elapsed(竒筁丁),rollout/ep_len_mean(キА),env/win_rate(硄闽瞯),time/iterations(Ω计),env/passed_count(硄筁毁锚计秖),train/entropy_loss(鎖穕ア),train/value_loss(基穕ア),train/clip_range(穝碩),train/explained_variance(基箇代非絋),train/loss(羆穕ア),train/n_updates(穝Ω计),train/approx_kl(KL床),train/clip_fraction(穝碩筁ゑㄒ),train/policy_gradient_loss(郸菠辫穕ア),train/learning_rate(厩策瞯),train/entropy_coef(鎖玒计),eval/mean_reward,eval/mean_ep_length
4271.810546875,8409,9011200,1071,2493.14,0.39,275,149.05,-0.21709059756249188,0.0944889707956463,0.1,0.2197369933128357,0.13485483825206757,2740,0.00069868355,0.0323455810546875,-0.0008169298627763056,0.00011021568000000001,0.012,,
4165.70166015625,8410,9043968,1075,2440.64,0.37,276,145.74,-0.2208133764564991,0.09427457274869085,0.1,0.20439380407333374,0.08817257732152939,2750,0.0009304165,0.0282073974609375,-0.000550916041538585,0.00010988800000000002,0.012,,
4428.9169921875,8411,9076736,1079,2569.03,0.42,277,153.91,-0.2134018987417221,0.1131588072516024,0.1,0.1922277808189392,0.11363633722066879,2760,0.0005229721,0.0240966796875,-0.0005440117136458866,0.00010956032000000001,0.012,,
4623.685546875,8411,9109504,1082,2657.81,0.46,278,159.83,-0.2166957776993513,0.09420567424967885,0.1,0.19589155912399292,0.09167152643203735,2770,0.00043657603,0.019195556640625,-0.00042704782681539654,0.00010923264,0.012,,
4739.95068359375,8412,9142272,1086,2708.77,0.49,279,163.12,-0.2042137857526541,0.11194557873532177,0.1,0.17517107725143433,0.10834778845310211,2780,0.00076366187,0.03104248046875,-0.000659853637625929,0.00010890496000000001,0.012,,
4867.3203125,8413,9175040,1090,2778.91,0.5,280,167.64,-0.21364416424185037,0.11207141764461995,0.1,0.16794294118881226,0.05641721189022064,2790,0.0008709809,0.029302978515625,-0.0009316288582340348,0.00010857728,0.012,,
4714.44140625,8413,9207808,1094,2692.49,0.49,281,162.18,-0.1996451487764716,0.12990385377779604,0.1,0.14171075820922852,0.11663711071014404,2800,0.0006526943,0.0282989501953125,-0.000574863696238026,0.00010824960000000001,0.012,,
4920.33447265625,8414,9240576,1098,2814.96,0.5,282,169.69,-0.23125545922666788,0.11232337346300483,0.1,0.19591695070266724,0.13197940587997437,2810,0.000540392,0.02286376953125,-0.0005810056245536543,0.00010792192000000001,0.012,,
4936.916015625,8415,9273344,1101,2821.49,0.5,283,170.31,-0.2010022893548012,0.06644521388225258,0.1,0.20376592874526978,0.1086268424987793,2820,0.00080361485,0.0334503173828125,-0.0005446844210382551,0.00010759424000000002,0.012,,
4987.70703125,8416,9306112,1105,2845.82,0.51,284,171.89,-0.2198934182524681,0.1303103373385966,0.1,0.16143345832824707,0.12222066521644592,2830,0.0009915212,0.0298583984375,-0.0004830823992961086,0.00010726656,0.012,,
4898.10986328125,8417,9338880,1109,2786.45,0.51,285,168.46,-0.22059468794614076,0.11265962393954396,0.1,0.18732959032058716,0.11247335374355316,2840,0.0009181413,0.0268768310546875,-0.0005235136472037993,0.00010693888,0.012,,
4723.79150390625,8417,9371648,1113,2701.54,0.48,286,162.93,-0.2054601602256298,0.09492895677685738,0.1,0.17688101530075073,0.11825532466173172,2850,0.0008558939,0.033819580078125,-0.0006602465815376491,0.0001066112,0.012,,
4617.64013671875,8418,9404416,1117,2648.2,0.46,287,159.62,-0.2577635420486331,0.13034532950259745,0.1,0.20313990116119385,0.08042462170124054,2860,0.0018329511,0.038751220703125,-0.0004721873498056084,0.00010628352,0.012,,
4367.8642578125,8418,9437184,1120,2520.38,0.42,288,151.55,-0.19754155352711678,0.07641389106865973,0.1,0.19691729545593262,0.08622297644615173,2870,0.00076621247,0.0397796630859375,-0.00042128178756684065,0.00010595584000000002,0.012,,
4442.67578125,8419,9469952,1124,2571.32,0.41,289,154.78,-0.23036436252295972,0.09494748767465352,0.1,0.22016245126724243,0.06580124795436859,2880,0.0007578003,0.0376708984375,-0.0005171991491806693,0.00010562816000000001,0.012,,
4346.81298828125,8420,9502720,1128,2517.68,0.4,290,151.48,-0.20460739806294442,0.07651862232014536,0.1,0.2027478814125061,0.07367119193077087,2890,0.00067029626,0.0280120849609375,-0.0007801296320394613,0.00010530048000000002,0.012,,
4494.09423828125,8420,9535488,1132,2595.19,0.42,291,156.34,-0.21389004681259394,0.11285776793956756,0.1,0.16108685731887817,0.14670974016189575,2900,0.00090154755,0.0379180908203125,-0.0007121170550817624,0.0001049728,0.012,,
4632.78173828125,8421,9568256,1136,2666.95,0.44,292,160.87,-0.21742195803672076,0.09418022548779845,0.1,0.17530423402786255,0.12989018857479095,2910,0.00066206744,0.0311553955078125,-0.0006112391012720764,0.00010464512000000001,0.012,,
,,9600000,,,0.46,,163.87,-0.2147700207307935,0.14838334769010544,0.1,0.1377042531967163,0.15320897102355957,2920,0.0013191116,0.03330078125,-0.0006034505946445279,0.00010431744,0.012,7294.7734375,4035.6
4731.33740234375,8375,9601024,1146,2718.56,0.46,293,163.87,,,,,,,,,,,0.012,,
4947.47509765625,8376,9633792,1150,2822.93,0.5,294,170.6,-0.21563526913523673,0.09418561086058616,0.1,0.19063538312911987,0.07943408936262131,2930,0.0007199398,0.0325042724609375,-0.0007624486475833692,0.00010398976,0.012,,
5178.99853515625,8376,9666560,1153,2943.23,0.53,295,178.32,-0.2136367665603757,0.16559325773268938,0.1,0.14074033498764038,0.19560952484607697,2940,0.00072642067,0.03076171875,-0.0007697841880144552,0.00010366208000000002,0.012,,
5037.78955078125,8377,9699328,1157,2866.52,0.52,296,173.27,-0.2199633779004216,0.111848895996809,0.1,0.17027997970581055,0.11950602382421494,2950,0.0006670747,0.026104736328125,-0.0007721968198893592,0.00010333440000000001,0.012,,
5182.21630859375,8378,9732096,1161,2941.95,0.54,297,178.04,-0.24278760701417923,0.11295065861195326,0.1,0.20697319507598877,0.16632632911205292,2960,0.0005762124,0.0267059326171875,-0.0005446011782623827,0.00010300672,0.012,,
5202.27294921875,8379,9764864,1165,2941.76,0.56,298,178.03,-0.20176130197942257,0.057710144412703814,0.1,0.2270103096961975,0.022452548146247864,2970,0.00068906165,0.0302154541015625,-0.0008737252646824345,0.00010267904,0.012,,
5070.267578125,8380,9797632,1169,2871.18,0.55,299,173.33,-0.22220151908695698,0.16593614229932427,0.1,0.14102894067764282,0.16659015417099,2980,0.0007369138,0.032391357421875,-0.0007150287521653809,0.00010235136000000001,0.012,,
5155.11572265625,8381,9830400,1172,2923.65,0.55,300,176.6,-0.23714747931808233,0.09536083834245801,0.1,0.21353375911712646,0.12973029911518097,2990,0.0006141722,0.027862548828125,-0.0007181904598837719,0.00010202368,0.012,,
4861.3671875,8381,9863168,1176,2777.1,0.5,301,167.26,-0.2022990735247731,0.07590008897241204,0.1,0.19330883026123047,0.09288017451763153,3000,0.00061189826,0.029840087890625,-0.0004697534081060439,0.000101696,0.012,,
4901.47314453125,8382,9895936,1180,2794.44,0.51,302,168.4,-0.23606365043669938,0.13106335792690516,0.1,0.17855346202850342,0.14166295528411865,3010,0.00055216206,0.02705078125,-0.0005250405607512221,0.00010136832,0.012,,
4965.84521484375,8383,9928704,1184,2833.5,0.51,303,170.88,-0.1981423232704401,0.07540232271421701,0.1,0.18808424472808838,0.07723011076450348,3020,0.0005470039,0.0229278564453125,-0.0005259036057395861,0.00010104064000000001,0.012,,
4907.82861328125,8384,9961472,1188,2811.11,0.49,304,169.44,-0.2161358365789056,0.16549578886479138,0.1,0.14776575565338135,0.13603174686431885,3030,0.00081342284,0.0306060791015625,-0.0008349643176188692,0.00010071296000000001,0.012,,
4636.1123046875,8385,9994240,1191,2662.91,0.46,305,160.15,-0.22326851040124893,0.05821379797998816,0.1,0.26539963483810425,0.11106133460998535,3040,0.0005512599,0.0231903076171875,-0.0007400178350508213,0.00010038528,0.012,,
4494.41650390625,8385,10027008,1195,2582.52,0.45,306,155.09,-0.2344758404418826,0.13130611358210445,0.1,0.19073933362960815,0.17038004100322723,3050,0.0008979967,0.03997802734375,-0.000668400879658293,0.00010005760000000001,0.012,,
4698.27197265625,8386,10059776,1199,2690.9,0.47,307,162.14,-0.2087283605709672,0.07570976775605232,0.1,0.2201138734817505,0.07509037852287292,3060,0.00040300982,0.020123291015625,-0.0005798344558570534,9.972992e-05,0.012,,
4708.80419921875,8387,10092544,1203,2682.5,0.49,308,161.78,-0.2104841934517026,0.14843272548168898,0.1,0.1609775424003601,0.11119917780160904,3070,0.00092097285,0.0423675537109375,-0.0007340403404668905,9.940224e-05,0.012,,
4683.341796875,8387,10125312,1207,2663.05,0.49,309,160.76,-0.2061782881617546,0.0932899204082787,0.1,0.17858946323394775,0.052232857793569565,3080,0.0006947936,0.0326141357421875,-0.000572719173214864,9.907456e-05,0.012,,
4756.0458984375,8388,10158080,1210,2709.55,0.49,310,163.54,-0.20253346841782333,0.16554124057292938,0.1,0.14596796035766602,0.11978220194578171,3090,0.0007300867,0.0293731689453125,-0.0005957772140391171,9.874688000000001e-05,0.012,,
4747.3994140625,8389,10190848,1214,2705.55,0.49,311,163.15,-0.21622613873332738,0.07617319447454066,0.1,0.2334117293357849,0.08739715814590454,3100,0.0008183654,0.0274322509765625,-0.0005884622514713556,9.841920000000001e-05,0.012,,
4654.73095703125,8390,10223616,1218,2647.97,0.49,312,159.57,-0.21612506676465273,0.13054181588813663,0.1,0.16457784175872803,0.08288996666669846,3110,0.0008743978,0.0400146484375,-0.0006871820936794393,9.809152e-05,0.012,,
4847.70947265625,8390,10256384,1222,2745.73,0.52,313,165.78,-0.21347607914358377,0.09407158151734621,0.1,0.1921299695968628,0.10157360136508942,3120,0.00095169485,0.0324493408203125,-0.0008970563620096072,9.776384000000001e-05,0.012,,
4780.7841796875,8391,10289152,1226,2720.11,0.5,314,163.97,-0.2344792352989316,0.14638280626386405,0.1,0.16627919673919678,0.08318696916103363,3130,0.0009956677,0.0400177001953125,-0.0006091022529290058,9.743615999999999e-05,0.012,,
4642.4873046875,8392,10321920,1229,2666.72,0.46,315,160.21,-0.21920336931943893,0.05860699617769569,0.1,0.2822141647338867,0.06673041731119156,3140,0.00053147436,0.0232666015625,-0.0006232117913896218,9.710848000000001e-05,0.012,,
4409.9140625,8393,10354688,1233,2560.42,0.41,316,153.21,-0.25238984562456607,0.11396903269924223,0.1,0.20983368158340454,0.058349404484033585,3150,0.00073787407,0.027154541015625,-0.0008367520815227181,9.678080000000001e-05,0.012,,
4250.640625,8393,10387456,1237,2474.14,0.39,317,147.88,-0.21493416801095008,0.040325736242812125,0.1,0.3064765930175781,0.03872808441519737,3160,0.00066171703,0.025042724609375,-0.0005038199473347049,9.645312000000001e-05,0.012,,
4059.5849609375,8394,10420224,1241,2371.17,0.37,318,141.33,-0.22717747204005717,0.13117220657877623,0.1,0.17748409509658813,0.08767831325531006,3170,0.0007844111,0.028070068359375,-0.0008199887015507556,9.612544000000001e-05,0.012,,
4185.197265625,8395,10452992,1245,2442.43,0.38,319,145.8,-0.21327984612435102,0.05865111113525927,0.1,0.26714181900024414,0.07321882247924805,3180,0.0005520861,0.0234588623046875,-0.0007329758285777643,9.579776e-05,0.012,,
4139.28369140625,8396,10485760,1248,2415.42,0.38,320,144.08,-0.210296836681664,0.14844391057267786,0.1,0.1522272825241089,0.15390799939632416,3190,0.0006257101,0.026239013671875,-0.0006006003808579407,9.547008000000001e-05,0.012,,
4103.4443359375,8396,10518528,1252,2405.63,0.36,321,143.48,-0.2272990396246314,0.11230315249413252,0.1,0.1743067502975464,0.07061077654361725,3200,0.0006235137,0.0250091552734375,-0.000676354588358663,9.514239999999999e-05,0.012,,
4036.265869140625,8397,10551296,1256,2365.44,0.36,322,140.9,-0.2399552108719945,0.07722708201035858,0.1,0.2703828811645508,0.052029531449079514,3210,0.0008781448,0.02587890625,-0.0006620043044677004,9.481472000000001e-05,0.012,,
4156.80615234375,8398,10584064,1260,2427.88,0.37,323,145.12,-0.19472279138863086,0.05854199593886733,0.1,0.2171025276184082,0.049109719693660736,3220,0.00067734474,0.030792236328125,-0.0007832640636479482,9.448704000000001e-05,0.012,,
4238.1689453125,8398,10616832,1264,2472.78,0.38,324,147.85,-0.23785930927842855,0.11330920197069645,0.1,0.20918583869934082,0.07688897848129272,3230,0.0009888519,0.034014892578125,-0.0009455608858843334,9.415936000000002e-05,0.012,,
4557.32177734375,8399,10649600,1267,2644.97,0.42,325,158.5,-0.19563590083271265,0.021498261543456465,0.1,0.3905404806137085,0.02393445558845997,3240,0.00058894005,0.021612548828125,-0.0007046737693599426,9.383168000000001e-05,0.012,,
4559.96240234375,8400,10682368,1271,2652.29,0.41,326,158.98,-0.21478347294032574,0.2017162401229143,0.1,0.12059396505355835,0.17013584077358246,3250,0.00076416286,0.0330322265625,-0.0007502335894969292,9.3504e-05,0.012,,
4495.10546875,8400,10715136,1275,2617.31,0.4,327,156.84,-0.21862283293157816,0.04140930870198645,0.1,0.32091623544692993,0.028732573613524437,3260,0.000803835,0.027081298828125,-0.0007448971882695332,9.317632e-05,0.012,,
4419.001953125,8401,10747904,1279,2584.15,0.38,328,154.68,-0.20310195423662664,0.1128346434328705,0.1,0.15184879302978516,0.0878252238035202,3270,0.00093894143,0.036138916015625,-0.0007047494014841505,9.284864e-05,0.012,,
